transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,year,month,quarter,day_of_week,month_name,is_weekend,revenue,unit_cost,total_cost,profit,profit_margin,age_group
44,2/19/2023,CUST044,FEMALE,22,CLOTHING,1,25,25,2023,2,1,Sunday,February,TRUE,25,15,15,10,0.4,18-25
45,7/3/2023,CUST045,FEMALE,55,ELECTRONICS,1,30,30,2023,7,3,Monday,July,FALSE,30,18,18,12,0.4,56+
46,6/26/2023,CUST046,FEMALE,20,ELECTRONICS,4,300,1200,2023,6,2,Monday,June,FALSE,1200,180,720,480,0.4,18-25
47,11/6/2023,CUST047,FEMALE,40,BEAUTY,3,500,1500,2023,11,4,Monday,November,FALSE,1500,300,900,600,0.4,36-45
48,5/16/2023,CUST048,MALE,54,ELECTRONICS,3,300,900,2023,5,2,Tuesday,May,FALSE,900,180,540,360,0.4,46-55
49,1/23/2023,CUST049,FEMALE,54,ELECTRONICS,2,500,1000,2023,1,1,Monday,January,FALSE,1000,300,600,400,0.4,46-55
50,8/24/2023,CUST050,FEMALE,27,BEAUTY,3,25,75,2023,8,3,Thursday,August,FALSE,75,15,45,30,0.4,26-35
51,10/2/2023,CUST051,MALE,27,BEAUTY,3,25,75,2023,10,4,Monday,October,FALSE,75,15,45,30,0.4,26-35
52,3/5/2023,CUST052,FEMALE,36,BEAUTY,1,300,300,2023,3,1,Sunday,March,TRUE,300,180,180,120,0.4,36-45
53,7/13/2023,CUST053,MALE,34,ELECTRONICS,2,50,100,2023,7,3,Thursday,July,FALSE,100,30,60,40,0.4,26-35
54,2/10/2023,CUST054,FEMALE,38,ELECTRONICS,3,500,1500,2023,2,1,Friday,February,FALSE,1500,300,900,600,0.4,36-45
55,10/10/2023,CUST055,MALE,31,BEAUTY,4,30,120,2023,10,4,Tuesday,October,FALSE,120,18,72,48,0.4,26-35
56,5/31/2023,CUST056,FEMALE,26,CLOTHING,3,300,900,2023,5,2,Wednesday,May,FALSE,900,180,540,360,0.4,26-35
57,11/18/2023,CUST057,FEMALE,63,BEAUTY,1,30,30,2023,11,4,Saturday,November,TRUE,30,18,18,12,0.4,56+
58,11/13/2023,CUST058,MALE,18,CLOTHING,4,300,1200,2023,11,4,Monday,November,FALSE,1200,180,720,480,0.4,18-25
59,7/5/2023,CUST059,MALE,62,CLOTHING,1,50,50,2023,7,3,Wednesday,July,FALSE,50,30,30,20,0.4,56+
60,10/23/2023,CUST060,MALE,30,BEAUTY,3,50,150,2023,10,4,Monday,October,FALSE,150,30,90,60,0.4,26-35
61,4/9/2023,CUST061,MALE,21,BEAUTY,4,50,200,2023,4,2,Sunday,April,TRUE,200,30,120,80,0.4,18-25
62,12/27/2023,CUST062,MALE,18,BEAUTY,2,50,100,2023,12,4,Wednesday,December,FALSE,100,30,60,40,0.4,18-25
63,2/5/2023,CUST063,MALE,57,ELECTRONICS,2,25,50,2023,2,1,Sunday,February,TRUE,50,15,30,20,0.4,56+
64,1/24/2023,CUST064,MALE,49,CLOTHING,4,25,100,2023,1,1,Tuesday,January,FALSE,100,15,60,40,0.4,46-55
65,12/5/2023,CUST065,MALE,51,ELECTRONICS,4,500,2000,2023,12,4,Tuesday,December,FALSE,2000,300,1200,800,0.4,46-55
66,4/27/2023,CUST066,FEMALE,45,ELECTRONICS,1,30,30,2023,4,2,Thursday,April,FALSE,30,18,18,12,0.4,46-55
67,5/29/2023,CUST067,FEMALE,48,BEAUTY,4,300,1200,2023,5,2,Monday,May,FALSE,1200,180,720,480,0.4,46-55
68,2/10/2023,CUST068,MALE,25,ELECTRONICS,1,300,300,2023,2,1,Friday,February,FALSE,300,180,180,120,0.4,26-35
69,4/30/2023,CUST069,FEMALE,56,BEAUTY,3,25,75,2023,4,2,Sunday,April,TRUE,75,15,45,30,0.4,56+
70,2/21/2023,CUST070,FEMALE,43,CLOTHING,1,300,300,2023,2,1,Tuesday,February,FALSE,300,180,180,120,0.4,36-45
71,7/14/2023,CUST071,FEMALE,51,BEAUTY,4,25,100,2023,7,3,Friday,July,FALSE,100,15,60,40,0.4,46-55
72,5/23/2023,CUST072,FEMALE,20,ELECTRONICS,4,500,2000,2023,5,2,Tuesday,May,FALSE,2000,300,1200,800,0.4,18-25
73,8/21/2023,CUST073,MALE,29,ELECTRONICS,3,30,90,2023,8,3,Monday,August,FALSE,90,18,54,36,0.4,26-35
74,11/22/2023,CUST074,FEMALE,18,BEAUTY,4,500,2000,2023,11,4,Wednesday,November,FALSE,2000,300,1200,800,0.4,18-25
75,7/6/2023,CUST075,MALE,61,BEAUTY,4,50,200,2023,7,3,Thursday,July,FALSE,200,30,120,80,0.4,56+
76,3/25/2023,CUST076,FEMALE,22,ELECTRONICS,2,50,100,2023,3,1,Saturday,March,TRUE,100,30,60,40,0.4,18-25
77,7/9/2023,CUST077,FEMALE,47,CLOTHING,2,50,100,2023,7,3,Sunday,July,TRUE,100,30,60,40,0.4,46-55
78,7/1/2023,CUST078,FEMALE,47,CLOTHING,3,500,1500,2023,7,3,Saturday,July,TRUE,1500,300,900,600,0.4,46-55
79,4/18/2023,CUST079,MALE,34,BEAUTY,1,300,300,2023,4,2,Tuesday,April,FALSE,300,180,180,120,0.4,26-35
80,12/10/2023,CUST080,FEMALE,64,CLOTHING,2,30,60,2023,12,4,Sunday,December,TRUE,60,18,36,24,0.4,56+
81,5/17/2023,CUST081,MALE,40,ELECTRONICS,1,50,50,2023,5,2,Wednesday,May,FALSE,50,30,30,20,0.4,36-45
82,12/26/2023,CUST082,FEMALE,32,BEAUTY,4,50,200,2023,12,4,Tuesday,December,FALSE,200,30,120,80,0.4,26-35
83,12/16/2023,CUST083,MALE,54,ELECTRONICS,2,50,100,2023,12,4,Saturday,December,TRUE,100,30,60,40,0.4,46-55
84,11/28/2023,CUST084,FEMALE,38,ELECTRONICS,3,30,90,2023,11,4,Tuesday,November,FALSE,90,18,54,36,0.4,36-45
85,2/6/2023,CUST085,MALE,31,CLOTHING,3,50,150,2023,2,1,Monday,February,FALSE,150,30,90,60,0.4,26-35
86,11/8/2023,CUST086,MALE,19,BEAUTY,3,30,90,2023,11,4,Wednesday,November,FALSE,90,18,54,36,0.4,18-25
87,11/22/2023,CUST087,FEMALE,28,BEAUTY,2,50,100,2023,11,4,Wednesday,November,FALSE,100,30,60,40,0.4,26-35
88,3/29/2023,CUST088,MALE,56,CLOTHING,1,500,500,2023,3,1,Wednesday,March,FALSE,500,300,300,200,0.4,56+
89,10/1/2023,CUST089,FEMALE,55,ELECTRONICS,4,500,2000,2023,10,4,Sunday,October,TRUE,2000,300,1200,800,0.4,56+
90,5/6/2023,CUST090,FEMALE,51,ELECTRONICS,1,30,30,2023,5,2,Saturday,May,TRUE,30,18,18,12,0.4,46-55
91,3/25/2023,CUST091,FEMALE,55,ELECTRONICS,1,500,500,2023,3,1,Saturday,March,TRUE,500,300,300,200,0.4,56+
92,8/25/2023,CUST092,FEMALE,51,ELECTRONICS,4,30,120,2023,8,3,Friday,August,FALSE,120,18,72,48,0.4,46-55
93,7/14/2023,CUST093,FEMALE,35,BEAUTY,4,500,2000,2023,7,3,Friday,July,FALSE,2000,300,1200,800,0.4,36-45
94,5/19/2023,CUST094,FEMALE,47,BEAUTY,2,500,1000,2023,5,2,Friday,May,FALSE,1000,300,600,400,0.4,46-55
95,11/24/2023,CUST095,FEMALE,32,CLOTHING,2,30,60,2023,11,4,Friday,November,FALSE,60,18,36,24,0.4,26-35
96,12/19/2023,CUST096,FEMALE,44,CLOTHING,2,300,600,2023,12,4,Tuesday,December,FALSE,600,180,360,240,0.4,36-45
97,10/13/2023,CUST097,FEMALE,51,BEAUTY,2,500,1000,2023,10,4,Friday,October,FALSE,1000,300,600,400,0.4,46-55
98,4/23/2023,CUST098,FEMALE,55,BEAUTY,2,50,100,2023,4,2,Sunday,April,TRUE,100,30,60,40,0.4,56+
99,12/17/2023,CUST099,FEMALE,50,ELECTRONICS,4,300,1200,2023,12,4,Sunday,December,TRUE,1200,180,720,480,0.4,46-55
100,6/16/2023,CUST100,MALE,41,ELECTRONICS,1,30,30,2023,6,2,Friday,June,FALSE,30,18,18,12,0.4,36-45
101,1/29/2023,CUST101,MALE,32,CLOTHING,2,300,600,2023,1,1,Sunday,January,TRUE,600,180,360,240,0.4,26-35
102,4/28/2023,CUST102,FEMALE,47,BEAUTY,2,25,50,2023,4,2,Friday,April,FALSE,50,15,30,20,0.4,46-55
103,1/17/2023,CUST103,FEMALE,59,CLOTHING,1,25,25,2023,1,1,Tuesday,January,FALSE,25,15,15,10,0.4,56+
104,6/11/2023,CUST104,FEMALE,34,BEAUTY,2,500,1000,2023,6,2,Sunday,June,TRUE,1000,300,600,400,0.4,26-35
105,7/25/2023,CUST105,FEMALE,22,ELECTRONICS,1,500,500,2023,7,3,Tuesday,July,FALSE,500,300,300,200,0.4,18-25
106,5/18/2023,CUST106,FEMALE,46,CLOTHING,1,50,50,2023,5,2,Thursday,May,FALSE,50,30,30,20,0.4,46-55
107,2/3/2023,CUST107,FEMALE,21,CLOTHING,4,300,1200,2023,2,1,Friday,February,FALSE,1200,180,720,480,0.4,18-25
108,4/19/2023,CUST108,FEMALE,27,BEAUTY,3,25,75,2023,4,2,Wednesday,April,FALSE,75,15,45,30,0.4,26-35
109,10/18/2023,CUST109,FEMALE,34,ELECTRONICS,4,500,2000,2023,10,4,Wednesday,October,FALSE,2000,300,1200,800,0.4,26-35
110,6/11/2023,CUST110,MALE,27,CLOTHING,3,300,900,2023,6,2,Sunday,June,TRUE,900,180,540,360,0.4,26-35
111,4/19/2023,CUST111,FEMALE,34,ELECTRONICS,3,500,1500,2023,4,2,Wednesday,April,FALSE,1500,300,900,600,0.4,26-35
112,12/2/2023,CUST112,MALE,37,CLOTHING,3,500,1500,2023,12,4,Saturday,December,TRUE,1500,300,900,600,0.4,36-45
113,9/13/2023,CUST113,FEMALE,41,ELECTRONICS,2,25,50,2023,9,3,Wednesday,September,FALSE,50,15,30,20,0.4,36-45
114,7/22/2023,CUST114,FEMALE,22,BEAUTY,4,25,100,2023,7,3,Saturday,July,TRUE,100,15,60,40,0.4,18-25
115,11/26/2023,CUST115,MALE,51,CLOTHING,3,500,1500,2023,11,4,Sunday,November,TRUE,1500,300,900,600,0.4,46-55
116,8/23/2023,CUST116,FEMALE,23,CLOTHING,1,30,30,2023,8,3,Wednesday,August,FALSE,30,18,18,12,0.4,18-25
117,3/15/2023,CUST117,MALE,19,ELECTRONICS,2,500,1000,2023,3,1,Wednesday,March,FALSE,1000,300,600,400,0.4,18-25
118,5/16/2023,CUST118,FEMALE,30,ELECTRONICS,4,500,2000,2023,5,2,Tuesday,May,FALSE,2000,300,1200,800,0.4,26-35
119,3/13/2023,CUST119,FEMALE,60,CLOTHING,3,50,150,2023,3,1,Monday,March,FALSE,150,30,90,60,0.4,56+
120,5/7/2023,CUST120,MALE,60,BEAUTY,1,50,50,2023,5,2,Sunday,May,TRUE,50,30,30,20,0.4,56+
121,10/15/2023,CUST121,FEMALE,28,ELECTRONICS,4,50,200,2023,10,4,Sunday,October,TRUE,200,30,120,80,0.4,26-35
122,10/3/2023,CUST122,MALE,64,ELECTRONICS,4,30,120,2023,10,4,Tuesday,October,FALSE,120,18,72,48,0.4,56+
123,5/15/2023,CUST123,FEMALE,40,ELECTRONICS,2,30,60,2023,5,2,Monday,May,FALSE,60,18,36,24,0.4,36-45
124,10/27/2023,CUST124,MALE,33,CLOTHING,4,500,2000,2023,10,4,Friday,October,FALSE,2000,300,1200,800,0.4,26-35
125,8/8/2023,CUST125,MALE,48,CLOTHING,2,50,100,2023,8,3,Tuesday,August,FALSE,100,30,60,40,0.4,46-55
126,10/26/2023,CUST126,FEMALE,28,CLOTHING,3,30,90,2023,10,4,Thursday,October,FALSE,90,18,54,36,0.4,26-35
127,7/24/2023,CUST127,FEMALE,33,CLOTHING,2,25,50,2023,7,3,Monday,July,FALSE,50,15,30,20,0.4,26-35
128,7/5/2023,CUST128,MALE,25,BEAUTY,1,500,500,2023,7,3,Wednesday,July,FALSE,500,300,300,200,0.4,26-35
129,4/23/2023,CUST129,FEMALE,21,BEAUTY,2,300,600,2023,4,2,Sunday,April,TRUE,600,180,360,240,0.4,18-25
130,3/12/2023,CUST130,FEMALE,57,CLOTHING,1,500,500,2023,3,1,Sunday,March,TRUE,500,300,300,200,0.4,56+
131,9/18/2023,CUST131,FEMALE,21,BEAUTY,2,300,600,2023,9,3,Monday,September,FALSE,600,180,360,240,0.4,18-25
132,9/10/2023,CUST132,MALE,42,ELECTRONICS,4,50,200,2023,9,3,Sunday,September,TRUE,200,30,120,80,0.4,36-45
133,2/16/2023,CUST133,MALE,20,ELECTRONICS,3,300,900,2023,2,1,Thursday,February,FALSE,900,180,540,360,0.4,18-25
134,1/25/2023,CUST134,MALE,49,ELECTRONICS,1,50,50,2023,1,1,Wednesday,January,FALSE,50,30,30,20,0.4,46-55
135,2/26/2023,CUST135,MALE,20,CLOTHING,2,25,50,2023,2,1,Sunday,February,TRUE,50,15,30,20,0.4,18-25
136,3/20/2023,CUST136,MALE,44,ELECTRONICS,2,300,600,2023,3,1,Monday,March,FALSE,600,180,360,240,0.4,36-45
137,11/18/2023,CUST137,MALE,46,BEAUTY,2,500,1000,2023,11,4,Saturday,November,TRUE,1000,300,600,400,0.4,46-55
138,3/23/2023,CUST138,MALE,49,CLOTHING,4,50,200,2023,3,1,Thursday,March,FALSE,200,30,120,80,0.4,46-55
139,12/15/2023,CUST139,MALE,36,BEAUTY,4,500,2000,2023,12,4,Friday,December,FALSE,2000,300,1200,800,0.4,36-45
140,8/5/2023,CUST140,MALE,38,ELECTRONICS,1,30,30,2023,8,3,Saturday,August,TRUE,30,18,18,12,0.4,36-45
141,11/2/2023,CUST141,FEMALE,22,ELECTRONICS,1,50,50,2023,11,4,Thursday,November,FALSE,50,30,30,20,0.4,18-25
142,2/2/2023,CUST142,MALE,35,ELECTRONICS,4,300,1200,2023,2,1,Thursday,February,FALSE,1200,180,720,480,0.4,36-45
143,7/17/2023,CUST143,FEMALE,45,CLOTHING,1,50,50,2023,7,3,Monday,July,FALSE,50,30,30,20,0.4,46-55
144,7/15/2023,CUST144,FEMALE,59,BEAUTY,3,500,1500,2023,7,3,Saturday,July,TRUE,1500,300,900,600,0.4,56+
145,11/2/2023,CUST145,FEMALE,39,CLOTHING,3,25,75,2023,11,4,Thursday,November,FALSE,75,15,45,30,0.4,36-45
146,8/28/2023,CUST146,MALE,38,CLOTHING,4,50,200,2023,8,3,Monday,August,FALSE,200,30,120,80,0.4,36-45
147,9/28/2023,CUST147,MALE,23,ELECTRONICS,1,300,300,2023,9,3,Thursday,September,FALSE,300,180,180,120,0.4,18-25
148,5/9/2023,CUST148,MALE,18,CLOTHING,2,30,60,2023,5,2,Tuesday,May,FALSE,60,18,36,24,0.4,18-25
149,10/11/2023,CUST149,MALE,22,CLOTHING,3,25,75,2023,10,4,Wednesday,October,FALSE,75,15,45,30,0.4,18-25
150,1/6/2023,CUST150,FEMALE,58,ELECTRONICS,4,30,120,2023,1,1,Friday,January,FALSE,120,18,72,48,0.4,56+
151,12/15/2023,CUST151,MALE,29,CLOTHING,1,50,50,2023,12,4,Friday,December,FALSE,50,30,30,20,0.4,26-35
152,2/28/2023,CUST152,MALE,43,ELECTRONICS,4,500,2000,2023,2,1,Tuesday,February,FALSE,2000,300,1200,800,0.4,36-45
153,12/16/2023,CUST153,MALE,63,ELECTRONICS,2,500,1000,2023,12,4,Saturday,December,TRUE,1000,300,600,400,0.4,56+
154,10/2/2023,CUST154,MALE,51,ELECTRONICS,3,300,900,2023,10,4,Monday,October,FALSE,900,180,540,360,0.4,46-55
155,5/17/2023,CUST155,MALE,31,ELECTRONICS,4,500,2000,2023,5,2,Wednesday,May,FALSE,2000,300,1200,800,0.4,26-35
156,11/25/2023,CUST156,FEMALE,43,CLOTHING,4,25,100,2023,11,4,Saturday,November,TRUE,100,15,60,40,0.4,36-45
157,6/24/2023,CUST157,MALE,62,ELECTRONICS,4,500,2000,2023,6,2,Saturday,June,TRUE,2000,300,1200,800,0.4,56+
158,2/27/2023,CUST158,FEMALE,44,ELECTRONICS,2,300,600,2023,2,1,Monday,February,FALSE,600,180,360,240,0.4,36-45
159,5/31/2023,CUST159,MALE,26,CLOTHING,4,50,200,2023,5,2,Wednesday,May,FALSE,200,30,120,80,0.4,26-35
160,8/11/2023,CUST160,FEMALE,43,CLOTHING,2,50,100,2023,8,3,Friday,August,FALSE,100,30,60,40,0.4,36-45
161,3/22/2023,CUST161,MALE,64,BEAUTY,2,500,1000,2023,3,1,Wednesday,March,FALSE,1000,300,600,400,0.4,56+
162,8/21/2023,CUST162,MALE,39,CLOTHING,2,30,60,2023,8,3,Monday,August,FALSE,60,18,36,24,0.4,36-45
163,1/2/2023,CUST163,FEMALE,64,CLOTHING,3,50,150,2023,1,1,Monday,January,FALSE,150,30,90,60,0.4,56+
164,5/15/2023,CUST164,FEMALE,47,BEAUTY,3,500,1500,2023,5,2,Monday,May,FALSE,1500,300,900,600,0.4,46-55
165,9/14/2023,CUST165,FEMALE,60,CLOTHING,4,300,1200,2023,9,3,Thursday,September,FALSE,1200,180,720,480,0.4,56+
166,4/2/2023,CUST166,MALE,34,CLOTHING,4,500,2000,2023,4,2,Sunday,April,TRUE,2000,300,1200,800,0.4,26-35
167,9/17/2023,CUST167,FEMALE,43,CLOTHING,3,50,150,2023,9,3,Sunday,September,TRUE,150,30,90,60,0.4,36-45
168,2/24/2023,CUST168,MALE,53,CLOTHING,1,300,300,2023,2,1,Friday,February,FALSE,300,180,180,120,0.4,46-55
169,11/17/2023,CUST169,MALE,18,BEAUTY,3,500,1500,2023,11,4,Friday,November,FALSE,1500,300,900,600,0.4,18-25
170,6/2/2023,CUST170,FEMALE,25,CLOTHING,2,25,50,2023,6,2,Friday,June,FALSE,50,15,30,20,0.4,26-35
171,11/24/2023,CUST171,FEMALE,52,CLOTHING,3,300,900,2023,11,4,Friday,November,FALSE,900,180,540,360,0.4,46-55
172,9/17/2023,CUST172,MALE,32,BEAUTY,2,25,50,2023,9,3,Sunday,September,TRUE,50,15,30,20,0.4,26-35
173,11/8/2023,CUST173,MALE,64,ELECTRONICS,4,30,120,2023,11,4,Wednesday,November,FALSE,120,18,72,48,0.4,56+
174,4/12/2023,CUST174,FEMALE,39,BEAUTY,1,300,300,2023,4,2,Wednesday,April,FALSE,300,180,180,120,0.4,36-45
175,3/20/2023,CUST175,FEMALE,31,ELECTRONICS,4,25,100,2023,3,1,Monday,March,FALSE,100,15,60,40,0.4,26-35
176,7/11/2023,CUST176,FEMALE,43,BEAUTY,2,50,100,2023,7,3,Tuesday,July,FALSE,100,30,60,40,0.4,36-45
177,3/24/2023,CUST177,MALE,45,BEAUTY,2,50,100,2023,3,1,Friday,March,FALSE,100,30,60,40,0.4,46-55
178,10/4/2023,CUST178,MALE,40,CLOTHING,2,30,60,2023,10,4,Wednesday,October,FALSE,60,18,36,24,0.4,36-45
179,9/29/2023,CUST179,MALE,31,ELECTRONICS,1,300,300,2023,9,3,Friday,September,FALSE,300,180,180,120,0.4,26-35
180,1/1/2023,CUST180,MALE,41,CLOTHING,3,300,900,2023,1,1,Sunday,January,TRUE,900,180,540,360,0.4,36-45
181,11/3/2023,CUST181,MALE,19,ELECTRONICS,4,300,1200,2023,11,4,Friday,November,FALSE,1200,180,720,480,0.4,18-25
182,6/15/2023,CUST182,MALE,62,BEAUTY,4,30,120,2023,6,2,Thursday,June,FALSE,120,18,72,48,0.4,56+
183,9/8/2023,CUST183,FEMALE,43,BEAUTY,3,300,900,2023,9,3,Friday,September,FALSE,900,180,540,360,0.4,36-45
184,1/10/2023,CUST184,MALE,31,ELECTRONICS,4,50,200,2023,1,1,Tuesday,January,FALSE,200,30,120,80,0.4,26-35
185,2/27/2023,CUST185,MALE,24,CLOTHING,1,25,25,2023,2,1,Monday,February,FALSE,25,15,15,10,0.4,18-25
186,7/5/2023,CUST186,MALE,20,CLOTHING,4,50,200,2023,7,3,Wednesday,July,FALSE,200,30,120,80,0.4,18-25
187,6/7/2023,CUST187,FEMALE,64,CLOTHING,2,50,100,2023,6,2,Wednesday,June,FALSE,100,30,60,40,0.4,56+
188,5/3/2023,CUST188,MALE,40,CLOTHING,3,25,75,2023,5,2,Wednesday,May,FALSE,75,15,45,30,0.4,36-45
189,1/30/2023,CUST189,MALE,63,BEAUTY,1,50,50,2023,1,1,Monday,January,FALSE,50,30,30,20,0.4,56+
190,5/4/2023,CUST190,FEMALE,60,BEAUTY,3,30,90,2023,5,2,Thursday,May,FALSE,90,18,54,36,0.4,56+
191,10/18/2023,CUST191,MALE,64,BEAUTY,1,25,25,2023,10,4,Wednesday,October,FALSE,25,15,15,10,0.4,56+
192,2/10/2023,CUST192,MALE,62,BEAUTY,2,50,100,2023,2,1,Friday,February,FALSE,100,30,60,40,0.4,56+
193,2/13/2023,CUST193,MALE,35,BEAUTY,3,500,1500,2023,2,1,Monday,February,FALSE,1500,300,900,600,0.4,36-45
194,9/6/2023,CUST194,MALE,55,CLOTHING,4,50,200,2023,9,3,Wednesday,September,FALSE,200,30,120,80,0.4,56+
195,2/5/2023,CUST195,MALE,52,CLOTHING,1,30,30,2023,2,1,Sunday,February,TRUE,30,18,18,12,0.4,46-55
196,9/30/2023,CUST196,FEMALE,32,CLOTHING,3,300,900,2023,9,3,Saturday,September,TRUE,900,180,540,360,0.4,26-35
197,3/6/2023,CUST197,FEMALE,42,CLOTHING,4,50,200,2023,3,1,Monday,March,FALSE,200,30,120,80,0.4,36-45
